PLAYER_ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,FOOT
ply510,,Danilo,Brazil,1991-07-15,Juventus,6.0,Defender,184.0,78.0,R
ply511,Mattia De,Sciglio,Italy,1992-10-20,Juventus,2.0,Defender,182.0,78.0,R
ply512,Federico,Gatti,Italy,1998-06-24,Juventus,15.0,Defender,190.0,84.0,R
ply513,Daniele,Rugani,Italy,1994-07-29,Juventus,24.0,Defender,190.0,84.0,R
ply514,Enzo,Barrenechea,Argentina,2001-05-22,Juventus,45.0,Midfielder,186.0,81.0,L
ply515,Nicolò,Fagioli,Italy,2001-02-12,Juventus,44.0,Midfielder,178.0,70.0,R
ply516,Samuel,Iling,England,2003-10-04,Juventus,43.0,Midfielder,,,
ply517,Filip,Kostić,Serbia,1992-11-01,Juventus,17.0,Midfielder,184.0,82.0,L
ply518,Manuel,Locatelli,Italy,1998-01-08,Juventus,5.0,Midfielder,186.0,75.0,R
ply519,Weston,McKennie,USA,1998-08-28,Juventus,8.0,Midfielder,183.0,84.0,R
ply520,Fabio,Miretti,Italy,2003-08-03,Juventus,20.0,Midfielder,179.0,65.0,R
ply521,Leandro,Paredes,Argentina,1994-06-29,Juventus,32.0,Midfielder,180.0,75.0,R
ply522,Paul,Pogba,France,1993-03-15,Juventus,10.0,Midfielder,191.0,84.0,
ply523,Adrien,Rabiot,France,1995-04-03,Juventus,25.0,Midfielder,191.0,80.0,L
ply524,Marley,Aké,France,2001-01-05,Juventus,33.0,Forward,177.0,68.0,R
ply525,Federico,Chiesa,Italy,1997-10-25,Juventus,7.0,Forward,175.0,70.0,R
ply526,Cosimo Da,Graca,Italy,2002-05-01,Juventus,40.0,Forward,185.0,74.0,R
ply527,Ángel Di,María,Argentina,1988-02-14,Juventus,22.0,Forward,180.0,75.0,L
ply528,Kaio,Jorge,Brazil,2002-01-24,Juventus,21.0,Forward,182.0,71.0,R
ply529,Moise,Kean,Italy,2000-02-28,Juventus,18.0,Forward,182.0,72.0,R
ply530,Arkadiusz,Milik,Poland,1994-02-28,Juventus,14.0,Forward,186.0,78.0,L
ply531,Matías,Soulé,Argentina,2003-04-15,Juventus,30.0,Forward,176.0,71.0,L
ply532,Dušan,Vlahović,Serbia,2000-01-28,Juventus,9.0,Forward,190.0,75.0,L
ply533,Lucas,Chevalier,France,2001-11-06,Lille OSC,30.0,Goalkeeper,192.0,78.0,R
ply534,Adam,Jakubech,Slovakia,1997-01-02,Lille OSC,16.0,Goalkeeper,188.0,85.0,R
ply535,Léo,Jardim,Brazil,1995-03-20,Lille OSC,1.0,Goalkeeper,188.0,82.0,R
ply536,Alexsandro,Ribeiro,Brazil,1999-08-09,Lille OSC,4.0,Defender,192.0,90.0,R
ply537,Bafodé,Diakité,France,2001-01-06,Lille OSC,18.0,Defender,185.0,82.0,R
ply538,Gabriel,Gudmundsson,Sweden,1999-04-29,Lille OSC,5.0,Defender,181.0,74.0,L
ply539,,Ismaily,Brazil,1990-01-11,Lille OSC,31.0,Defender,177.0,82.0,L
ply540,José,Fonte,Portugal,1983-12-22,Lille OSC,6.0,Defender,191.0,81.0,R
ply541,Tiago,Djaló,Portugal,2000-04-09,Lille OSC,3.0,Defender,190.0,82.0,R
ply542,Leny,Yoro,France,2005-11-13,Lille OSC,15.0,Defender,,,R
ply543,Akim,Zedadka,France,1995-05-30,Lille OSC,13.0,Defender,173.0,70.0,R
ply544,Benjamin,André,France,1990-08-03,Lille OSC,21.0,Midfielder,180.0,68.0,R
ply545,André,Gomes,Portugal,1993-07-30,Lille OSC,28.0,Midfielder,188.0,84.0,R
ply546,Carlos,Baleba,Cameroon,2004-01-03,Lille OSC,35.0,Midfielder,,,L
ply547,Rémy,Cabella,France,1990-03-08,Lille OSC,17.0,Midfielder,171.0,68.0,R
ply548,Angel,Gomes,England,2000-08-31,Lille OSC,20.0,Midfielder,168.0,56.0,R
ply549,Jonas,Martin,France,1990-04-09,Lille OSC,8.0,Midfielder,184.0,77.0,R
ply550,Ugo,Raghouber,France,2003-07-13,Lille OSC,12.0,Midfielder,179.0,62.0,L
ply551,Jonathan,Bamba,France,1996-03-26,Lille OSC,7.0,Forward,175.0,67.0,R
ply552,Mohamed,Bayo,Guinea,1998-06-04,Lille OSC,27.0,Forward,188.0,76.0,R
ply553,Jonathan,David,Canada,2000-01-14,Lille OSC,9.0,Forward,180.0,70.0,
ply554,José,Bica,Portugal,2003-06-16,Lille OSC,39.0,Forward,176.0,66.0,R
ply555,Isaac,Lihadji,France,2002-04-10,Lille OSC,19.0,Forward,177.0,70.0,L
ply556,Adam,Ounas,Algeria,1996-11-11,Lille OSC,11.0,Forward,172.0,65.0,L
ply557,Alan,Virginius,France,2003-01-03,Lille OSC,26.0,Forward,175.0,65.0,R
ply558,Timothy,Weah,USA,2000-02-22,Lille OSC,22.0,Forward,183.0,66.0,R
ply559,Edon,Zhegrova,Kosovo,1999-03-31,Lille OSC,23.0,Forward,181.0,72.0,L
ply560,,Adrián,Spain,1987-01-03,Liverpool FC,13.0,Goalkeeper,190.0,89.0,R
ply561,,Alisson,Brazil,1992-10-02,Liverpool FC,1.0,Goalkeeper,191.0,88.0,R
ply563,Caoimhin,Kelleher,Ireland,1998-11-23,Liverpool FC,62.0,Goalkeeper,188.0,74.0,R
ply564,Trent,Alexander-Arnold,England,1998-10-07,Liverpool FC,66.0,Defender,180.0,69.0,R
ply565,Stefan,Bajčetić,Spain,2004-10-22,Liverpool FC,43.0,Defender,185.0,,
ply566,Luke,Chambers,England,2004-06-24,Liverpool FC,88.0,Defender,181.0,,L
ply567,Joe,Gomez,England,1997-05-23,Liverpool FC,2.0,Defender,188.0,77.0,R
ply568,Ibrahima,Konaté,France,1999-05-25,Liverpool FC,5.0,Defender,194.0,95.0,R
ply569,Joel,Matip,Cameroon,1991-08-08,Liverpool FC,32.0,Defender,195.0,89.0,R
ply570,Nathaniel,Phillips,England,1997-03-21,Liverpool FC,47.0,Defender,190.0,84.0,R
ply571,Calvin,Ramsay,Scotland,2003-07-31,Liverpool FC,22.0,Defender,177.0,68.0,R
ply572,Andrew,Robertson,Scotland,1994-03-11,Liverpool FC,26.0,Defender,178.0,64.0,L
ply573,Kostas,Tsimikas,Greece,1996-05-12,Liverpool FC,21.0,Defender,179.0,70.0,L
ply574,Virgil van,Dijk,Netherlands,1991-07-08,Liverpool FC,4.0,Defender,193.0,92.0,R
ply575,,Arthur,Brazil,1996-08-12,Liverpool FC,29.0,Midfielder,171.0,73.0,R
ply576,Harvey,Elliott,England,2003-04-04,Liverpool FC,19.0,Midfielder,170.0,67.0,L
ply577,,Fabinho,Brazil,1993-10-23,Liverpool FC,3.0,Midfielder,188.0,78.0,R
ply578,Jordan,Henderson,England,1990-06-17,Liverpool FC,14.0,Midfielder,187.0,80.0,R
ply579,Curtis,Jones,England,2001-01-30,Liverpool FC,17.0,Midfielder,185.0,75.0,R
